Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
29.700, 100.000, 100.000, 26.265, 1.111, 16.118, 18.011, 14.786
29.800, 100.000, 100.000, 26.242, 1.106, 16.045, 17.999, 14.714
29.900, 100.000, 100.000, 26.224, 1.100, 15.956, 17.987, 14.652
30.000, 100.000, 100.000, 26.194, 1.094, 15.893, 17.975, 14.572
30.100, 100.000, 100.000, 26.158, 1.092, 15.830, 17.963, 14.518
30.200, 100.000, 100.000, 26.116, 1.087, 15.767, 17.951, 14.452
30.300, 100.000, 100.000, 26.111, 1.081, 15.699, 17.940, 14.393
30.400, 100.000, 100.000, 26.099, 1.075, 15.610, 17.928, 14.333
30.500, 100.000, 100.000, 26.081, 1.067, 15.547, 17.916, 14.271
30.600, 100.000, 100.000, 26.063, 1.063, 15.490, 17.905, 14.226
30.700, 100.000, 100.000, 26.051, 1.058, 15.422, 17.893, 14.162
30.800, 100.000, 100.000, 26.021, 1.054, 15.359, 17.881, 14.100
30.900, 100.000, 100.000, 26.015, 1.047, 15.306, 17.869, 14.042
31.000, 100.000, 100.000, 25.991, 1.041, 15.217, 17.858, 13.964
31.100, 100.000, 100.000, 25.962, 1.038, 15.165, 17.845, 13.908
31.200, 100.000, 100.000, 25.938, 1.035, 15.097, 17.833, 13.849
31.300, 100.000, 100.000, 25.920, 1.032, 15.018, 17.823, 13.791
31.400, 100.000, 100.000, 25.878, 1.025, 14.955, 17.811, 13.744
31.500, 100.000, 100.000, 25.843, 1.019, 14.893, 17.798, 13.680
31.600, 100.000, 100.000, 25.801, 1.013, 14.825, 17.787, 13.636
31.700, 100.000, 100.000, 25.795, 1.007, 14.756, 17.774, 13.581
31.800, 100.000, 100.000, 25.747, 1.002, 14.709, 17.763, 13.546
31.900, 100.000, 100.000, 25.718, 0.995, 14.599, 17.751, 13.478
32.000, 100.000, 100.000, 25.682, 0.990, 14.510, 17.740, 13.412
32.100, 100.000, 100.000, 25.652, 0.986, 14.468, 17.728, 13.354
32.200, 100.000, 100.000, 25.628, 0.981, 14.374, 17.715, 13.288
32.300, 100.000, 100.000, 25.592, 0.979, 14.280, 17.704, 13.235
32.400, 100.000, 100.000, 25.569, 0.973, 14.227, 17.691, 13.181
32.500, 100.000, 100.000, 25.551, 0.968, 14.175, 17.680, 13.138
32.600, 100.000, 100.000, 25.527, 0.962, 14.102, 17.669, 13.086
32.700, 100.000, 100.000, 25.515, 0.958, 14.065, 17.657, 13.055
32.800, 100.000, 100.000, 25.503, 0.954, 14.023, 17.645, 13.008
32.900, 100.000, 100.000, 25.473, 0.950, 13.965, 17.633, 12.961
