Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
28.100, 100.000, 100.000, 27.188, 1.274, 19.916, 18.546, 18.571
28.200, 100.000, 100.000, 27.147, 1.269, 19.853, 18.531, 18.509
28.300, 100.000, 100.000, 27.129, 1.260, 19.817, 18.517, 18.454
28.400, 100.000, 100.000, 27.111, 1.257, 19.738, 18.503, 18.371
28.500, 100.000, 100.000, 27.069, 1.252, 19.665, 18.489, 18.297
28.600, 100.000, 100.000, 27.016, 1.246, 19.607, 18.476, 18.227
28.700, 100.000, 100.000, 26.992, 1.239, 19.539, 18.464, 18.153
28.800, 100.000, 100.000, 26.956, 1.231, 19.450, 18.450, 18.066
28.900, 100.000, 100.000, 26.944, 1.225, 19.424, 18.438, 18.023
29.000, 100.000, 100.000, 26.944, 1.221, 19.371, 18.425, 17.953
29.100, 100.000, 100.000, 26.902, 1.215, 19.335, 18.413, 17.897
29.200, 100.000, 100.000, 26.891, 1.210, 19.261, 18.400, 17.823
29.300, 100.000, 100.000, 26.867, 1.207, 19.214, 18.385, 17.768
29.400, 100.000, 100.000, 26.837, 1.201, 19.172, 18.374, 17.712
29.500, 100.000, 100.000, 26.813, 1.193, 19.078, 18.364, 17.630
29.600, 100.000, 100.000, 26.783, 1.189, 19.031, 18.352, 17.568
29.700, 100.000, 100.000, 26.754, 1.183, 18.968, 18.339, 17.504
29.800, 100.000, 100.000, 26.724, 1.176, 18.900, 18.329, 17.419
29.900, 100.000, 100.000, 26.706, 1.170, 18.884, 18.318, 17.366
30.000, 100.000, 100.000, 26.688, 1.166, 18.848, 18.307, 17.306
30.100, 100.000, 100.000, 26.664, 1.162, 18.811, 18.296, 17.250
30.200, 100.000, 100.000, 26.646, 1.156, 18.743, 18.285, 17.178
30.300, 100.000, 100.000, 26.617, 1.153, 18.643, 18.274, 17.106
30.400, 100.000, 100.000, 26.575, 1.146, 18.607, 18.264, 17.057
30.500, 100.000, 100.000, 26.521, 1.143, 18.559, 18.255, 16.991
30.600, 100.000, 100.000, 26.504, 1.140, 18.533, 18.244, 16.948
30.700, 100.000, 100.000, 26.474, 1.134, 18.481, 18.234, 16.894
30.800, 100.000, 100.000, 26.456, 1.126, 18.439, 18.223, 16.832
30.900, 100.000, 100.000, 26.426, 1.120, 18.392, 18.212, 16.779
31.000, 100.000, 100.000, 26.408, 1.113, 18.313, 18.200, 16.704
31.100, 100.000, 100.000, 26.378, 1.109, 18.256, 18.190, 16.639
31.200, 100.000, 100.000, 26.361, 1.102, 18.198, 18.180, 16.568
31.300, 100.000, 100.000, 26.343, 1.096, 18.140, 18.170, 16.507
31.400, 100.000, 100.000, 26.307, 1.091, 18.098, 18.159, 16.435
31.500, 100.000, 100.000, 26.295, 1.086, 18.057, 18.149, 16.377
31.600, 100.000, 100.000, 26.277, 1.084, 18.025, 18.138, 16.348
31.700, 100.000, 100.000, 26.236, 1.081, 17.988, 18.128, 16.294
31.800, 100.000, 100.000, 26.224, 1.075, 17.957, 18.119, 16.255
31.900, 100.000, 100.000, 26.206, 1.067, 17.910, 18.108, 16.206
32.000, 100.000, 100.000, 26.200, 1.063, 17.863, 18.098, 16.138
32.100, 100.000, 100.000, 26.146, 1.056, 17.826, 18.088, 16.080
32.200, 100.000, 100.000, 26.128, 1.052, 17.768, 18.078, 16.008
32.300, 100.000, 100.000, 26.116, 1.048, 17.695, 18.067, 15.954
32.400, 100.000, 100.000, 26.093, 1.046, 17.590, 18.057, 15.860
32.500, 100.000, 100.000, 26.081, 1.043, 17.533, 18.047, 15.806
32.600, 100.000, 100.000, 26.051, 1.038, 17.454, 18.038, 15.734
32.700, 100.000, 100.000, 26.045, 1.032, 17.417, 18.029, 15.687
32.800, 100.000, 100.000, 25.985, 1.026, 17.381, 18.019, 15.643
32.900, 100.000, 100.000, 25.968, 1.022, 17.323, 18.009, 15.584
33.000, 100.000, 100.000, 25.956, 1.017, 17.287, 17.999, 15.542
33.100, 100.000, 100.000, 25.938, 1.011, 17.239, 17.989, 15.503
33.200, 100.000, 100.000, 25.920, 1.007, 17.197, 17.980, 15.431
33.300, 100.000, 100.000, 25.908, 1.005, 17.140, 17.970, 15.380
33.400, 100.000, 100.000, 25.884, 1.000, 17.093, 17.959, 15.330
33.500, 100.000, 100.000, 25.837, 0.995, 17.046, 17.949, 15.279
33.600, 100.000, 100.000, 25.819, 0.990, 17.019, 17.939, 15.241
33.700, 100.000, 100.000, 25.759, 0.988, 16.972, 17.930, 15.192
33.800, 100.000, 100.000, 25.741, 0.984, 16.888, 17.921, 15.128
33.900, 100.000, 100.000, 25.723, 0.981, 16.841, 17.910, 15.073
34.000, 100.000, 100.000, 25.700, 0.974, 16.789, 17.900, 15.023
34.100, 100.000, 100.000, 25.682, 0.970, 16.726, 17.891, 14.967
34.200, 100.000, 100.000, 25.658, 0.965, 16.689, 17.880, 14.932
