Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
9975.4424, 9975.44, -5.94, -2.38, 126.102, OUT, F2
9969.5557, 9969.56, 0.59, -0.59, 126.102, OUT, F1
9962.6338, 9962.63, 2.43, -5.67, 80.970, OUT, F2
9932.7998, 9932.80, -0.56, -2.81, 138.058, OUT, F0
9927.8574, 9927.86, -7.86, 0.56, 138.058, OUT, F0
9920.3525, 9920.35, 6.54, -1.19, 126.102, OUT, F1
9917.1484, 9917.15, -1.23, 3.07, 116.527, OUT, F1
9909.1426, 9909.14, 1.19, 0.59, 124.545, OUT, F2
9898.4785, 9898.48, -3.57, 1.19, 126.102, OUT, F0
9886.0117, 9886.01, -5.35, -2.97, 126.102, OUT, F0
9876.8350, 9876.83, -6.54, 2.38, 126.102, OUT, F1
9850.7227, 9850.72, -2.57, 5.13, 111.506, OUT, F1
9833.6709, 9833.67, 1.64, 0.00, 145.141, OUT, F1
9818.8164, 9818.82, -1.28, 4.49, 111.506, OUT, F0
9817.4219, 9817.42, -3.86, 0.00, 142.341, OUT, F2
9814.5264, 9814.53, -2.38, 1.78, 122.974, OUT, F2
9810.4980, 9810.50, -1.84, 4.30, 116.527, OUT, F1
9807.6543, 9807.65, -7.71, -1.10, 142.341, OUT, F2
9783.9648, 9783.96, 2.49, -1.87, 114.872, OUT, F2
9771.9502, 9771.95, 0.00, -4.16, 126.102, OUT, F0
9768.6543, 9768.65, -0.67, -0.67, 106.304, OUT, F1
9765.4131, 9765.41, 0.60, 1.20, 119.784, OUT, F2
9755.4033, 9755.40, 0.68, -2.72, 104.527, OUT, F2
9752.9248, 9752.92, -5.77, -1.73, 133.671, OUT, F1
9750.2373, 9750.24, 5.77, 1.73, 133.671, OUT, F1
9748.6865, 9748.69, -5.61, -3.74, 114.872, OUT, F2
9746.9482, 9746.95, -3.57, 1.78, 126.102, OUT, F0
9726.5020, 9726.50, -2.81, -1.68, 138.058, OUT, F0
9720.0693, 9720.07, 1.16, 1.75, 132.184, OUT, F0
9696.8721, 9696.87, -4.16, 4.16, 126.102, OUT, F2
9696.4463, 9696.45, 0.00, 4.42, 93.323, OUT, F1
9695.2588, 9695.26, 1.47, -5.89, 93.323, OUT, F0
9689.8350, 9689.83, -5.57, -1.11, 139.497, OUT, F2
9686.1826, 9686.18, -0.59, -1.19, 126.102, OUT, F2
9679.3838, 9679.38, -6.75, -1.84, 116.527, OUT, F1
9675.7607, 9675.76, -1.23, 4.30, 116.527, OUT, F1
