Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
9704.9492, 9704.95, 0.98, 0.49, 143.746, OUT, F1
9699.2578, 9699.26, 3.19, -4.25, 87.315, OUT, F2
9698.0459, 9698.05, 2.01, 3.51, 99.047, OUT, F2
9690.6680, 9690.67, -1.93, -2.41, 133.671, OUT, F0
9679.1689, 9679.17, 1.59, -3.19, 87.315, OUT, F1
9644.3408, 9644.34, 0.00, 2.51, 99.047, OUT, F2
9640.8359, 9640.84, -1.12, -5.60, 78.769, OUT, F1
9625.0928, 9625.09, -3.01, -4.51, 99.047, OUT, F2
9622.4111, 9622.41, 5.30, -1.93, 133.671, OUT, F1
9617.5098, 9617.51, 0.47, 2.83, 124.545, OUT, F0
9611.4746, 9611.47, 0.50, 4.51, 99.047, OUT, F0
9599.5254, 9599.53, 2.01, 5.52, 99.047, OUT, F0
9599.4268, 9599.43, -5.78, -1.93, 133.671, OUT, F2
9597.9805, 9597.98, 4.01, 2.01, 99.047, OUT, F2
9583.5459, 9583.55, 1.00, 2.01, 99.047, OUT, F2
9579.2324, 9579.23, 3.01, 2.01, 99.047, OUT, F0
9568.9590, 9568.96, -3.51, 3.01, 99.047, OUT, F2
9554.3262, 9554.33, 5.52, 4.51, 99.047, OUT, F0
9552.0117, 9552.01, 0.53, -3.72, 87.315, OUT, F1
9551.1768, 9551.18, 2.53, 3.03, 97.168, OUT, F1
9550.8867, 9550.89, 5.52, 3.51, 99.047, OUT, F0
9548.2852, 9548.29, 0.48, 1.93, 133.671, OUT, F1
9540.1641, 9540.16, -5.66, -2.83, 124.545, OUT, F0
9536.2568, 9536.26, 6.56, 0.00, 122.974, OUT, F1
9532.2764, 9532.28, 0.00, -4.01, 99.047, OUT, F2
9500.6885, 9500.69, 4.51, -3.51, 99.047, OUT, F0
9496.2891, 9496.29, 0.00, -4.48, 78.769, OUT, F1
9484.2607, 9484.26, 6.14, 1.42, 124.545, OUT, F1
9478.1377, 9478.14, 4.01, 3.01, 99.047, OUT, F2
9468.8408, 9468.84, -1.49, 1.98, 145.141, OUT, F0
9458.9404, 9458.94, -7.01, -3.50, 147.901, OUT, F2
9422.8809, 9422.88, -3.51, -3.01, 99.047, OUT, F2
9403.3906, 9403.39, -2.36, 2.36, 124.545, OUT, F1
9398.3623, 9398.36, -2.89, 0.96, 133.671, OUT, F0
9383.5391, 9383.54, 5.66, -1.42, 124.545, OUT, F0
9378.5771, 9378.58, -3.01, 1.50, 99.047, OUT, F0
9351.6191, 9351.62, -4.43, 0.98, 143.746, OUT, F1
9331.7920, 9331.79, 4.82, 0.96, 133.671, OUT, F2
9321.7246, 9321.72, 4.85, 3.77, 85.241, OUT, F1
9321.0498, 9321.05, -1.50, -1.50, 147.901, OUT, F0
9315.8408, 9315.84, 3.75, 0.47, 122.974, OUT, F2
9315.4629, 9315.46, 2.01, 2.01, 99.047, OUT, F2
9287.9639, 9287.96, -3.37, 0.00, 133.671, OUT, F2
9276.8730, 9276.87, 2.51, -3.51, 99.047, OUT, F0
9274.3613, 9274.36, 1.41, 2.34, 122.974, OUT, F0
9269.9033, 9269.90, 0.49, -2.46, 143.746, OUT, F0
9262.5684, 9262.57, 5.66, 1.89, 124.545, OUT, F1
9259.1133, 9259.11, 4.01, 4.51, 99.047, OUT, F0
9254.9893, 9254.99, -0.53, 3.72, 87.315, OUT, F2
9247.5430, 9247.54, 2.51, -4.01, 99.047, OUT, F2
9245.0850, 9245.08, 1.44, 2.40, 129.170, OUT, F1
9206.0820, 9206.08, -7.96, -2.49, 146.526, OUT, F0
9182.6846, 9182.68, 3.51, 2.51, 99.047, OUT, F1
9175.7588, 9175.76, -7.67, 0.96, 129.170, OUT, F2
